# Indicators (ADR 0143): kind  value  campaign  source. Known-bad markers
# from past AUR incidents, primary sources first (sources.tsv); community
# lists (lenucksi) only fill gaps. kinds:
#   pkgbase  package base (critical in its campaign window, else suspicious)
#   npm      npm/bun package name        domain  host, onion or IP
#   sha256   payload hash                path    on-disk artefact (audit)
# Refresh: `aur-vet refresh-indicators` (reviewed diff, never at vet time);
# names outside the AUR charset (arch-md "notepad\u2014bin") are dropped.
pkgbase	archjh	atomic-arch	arch-md
pkgbase	archlinux-themes-balou	atomic-arch	arch-md
pkgbase	archlinux-themes-slim	atomic-arch	arch-md
pkgbase	archmage	atomic-arch	arch-md
pkgbase	arch-palemoon-search	atomic-arch	arch-md
pkgbase	archtex-git	atomic-arch	arch-md
pkgbase	arch-update-vai	atomic-arch	arch-md
pkgbase	arduino-git	atomic-arch	arch-md
pkgbase	argouml	atomic-arch	arch-md
pkgbase	aria2fe	atomic-arch	arch-md
pkgbase	ariang-allinone	atomic-arch	arch-md
pkgbase	armitage-git	atomic-arch	arch-md
pkgbase	arm-linux-gnueabihf-binutils	atomic-arch	arch-md
pkgbase	arm-linux-gnueabihf-glibc-headers	atomic-arch	arch-md
pkgbase	arm-linux-gnueabihf-linux-api-headers	atomic-arch	arch-md
pkgbase	ar-smileys	atomic-arch	arch-md
pkgbase	artanis-git	atomic-arch	arch-md
pkgbase	ascii-rain-git	atomic-arch	arch-md
pkgbase	asciiworld-git	atomic-arch	arch-md
pkgbase	astah-uml	atomic-arch	arch-md
pkgbase	astro-editor-appimage	atomic-arch	arch-md
pkgbase	asus-fan-dkms-git	atomic-arch	arch-md
pkgbase	atlassian-confluence	atomic-arch	arch-md
pkgbase	atlassian-plugin-sdk	atomic-arch	arch-md
pkgbase	atolm-openbox-theme	atomic-arch	arch-md
pkgbase	atomicwalet	atomic-arch	arch-md
pkgbase	atomicwalllet	atomic-arch	arch-md
pkgbase	atto-bin	atomic-arch	arch-md
pkgbase	audible-activator-git	atomic-arch	arch-md
pkgbase	audiere	atomic-arch	arch-md
pkgbase	audiotube-git	atomic-arch	arch-md
pkgbase	aura-browser	atomic-arch	arch-md
pkgbase	aura-browser-git	atomic-arch	arch-md
pkgbase	auryo	atomic-arch	arch-md
pkgbase	autohand-cli	atomic-arch	arch-md
pkgbase	autolabel	atomic-arch	arch-md
pkgbase	autolatex	atomic-arch	arch-md
pkgbase	autologin	atomic-arch	arch-md
pkgbase	autozen	atomic-arch	arch-md
pkgbase	avarice-git	atomic-arch	arch-md
pkgbase	avogadro2-git	atomic-arch	arch-md
pkgbase	avra	atomic-arch	arch-md
pkgbase	awesome-cinnamon	atomic-arch	arch-md
pkgbase	awesome-revelation-git	atomic-arch	arch-md
pkgbase	awoken-icons	atomic-arch	arch-md
pkgbase	aws-cli-git	atomic-arch	arch-md
pkgbase	aws-sam-cli	atomic-arch	arch-md
pkgbase	ayatana-indicator-application	atomic-arch	arch-md
pkgbase	azurlaneautoscript	atomic-arch	arch-md
pkgbase	backup2l	atomic-arch	arch-md
pkgbase	backwild	atomic-arch	arch-md
pkgbase	balena-cli	atomic-arch	arch-md
pkgbase	bangin-server-node	atomic-arch	arch-md
pkgbase	barrier-git	atomic-arch	arch-md
pkgbase	basilisk-gtk2-bin	atomic-arch	arch-md
pkgbase	batman-adv	atomic-arch	arch-md
pkgbase	bazel-buildtools	atomic-arch	arch-md
pkgbase	bbswitch-git	atomic-arch	arch-md
pkgbase	bcachefs-kernel-dkms-git	atomic-arch	arch-md
pkgbase	bcalc	atomic-arch	arch-md
pkgbase	bcnc	atomic-arch	arch-md
pkgbase	bcoin-git	atomic-arch	arch-md
pkgbase	bdf-creep	atomic-arch	arch-md
pkgbase	beaker-browser-git	atomic-arch	arch-md
pkgbase	beaker-ng-bin	atomic-arch	arch-md
pkgbase	beancount-git	atomic-arch	arch-md
pkgbase	beebeep	atomic-arch	arch-md
pkgbase	beef	atomic-arch	arch-md
pkgbase	beets-copyartifacts-git	atomic-arch	arch-md
pkgbase	bibtex2html	atomic-arch	arch-md
pkgbase	bicon-git	atomic-arch	arch-md
pkgbase	bin32-jre	atomic-arch	arch-md
pkgbase	bing-wallpaper-git	atomic-arch	arch-md
pkgbase	binnavi	atomic-arch	arch-md
pkgbase	biosdevname	atomic-arch	arch-md
pkgbase	bitcanna-wallet-bin	atomic-arch	arch-md
pkgbase	bitcoin-core-git	atomic-arch	arch-md
pkgbase	bittube-wallet-gui	atomic-arch	arch-md
pkgbase	blackcoin-git	atomic-arch	arch-md
pkgbase	blackfire-agent	atomic-arch	arch-md
pkgbase	blender-plugin-bim-git	atomic-arch	arch-md
pkgbase	blender-plugin-vectex	atomic-arch	arch-md
pkgbase	bleufear-gtk-theme	atomic-arch	arch-md
pkgbase	blinkenlib	atomic-arch	arch-md
pkgbase	blogc	atomic-arch	arch-md
pkgbase	blt	atomic-arch	arch-md
pkgbase	blueprint-compiler-git	atomic-arch	arch-md
pkgbase	blueproximity-py3-git	atomic-arch	arch-md
pkgbase	bonsai-browser	atomic-arch	arch-md
pkgbase	booklore	atomic-arch	arch-md
pkgbase	boostnote-bin	atomic-arch	arch-md
pkgbase	borg-git	atomic-arch	arch-md
pkgbase	bouml	atomic-arch	arch-md
pkgbase	bpytop-git	atomic-arch	arch-md
pkgbase	bracket	atomic-arch	arch-md
pkgbase	brightness-controller-git	atomic-arch	arch-md
pkgbase	brother-hl3150cdw	atomic-arch	arch-md
pkgbase	brother-hll6200dw	atomic-arch	arch-md
pkgbase	brow6el	atomic-arch	arch-md
pkgbase	brow6el-git	atomic-arch	arch-md
pkgbase	browserpass-git	atomic-arch	arch-md
pkgbase	brscan3	atomic-arch	arch-md
pkgbase	bsnes-plus-git	atomic-arch	arch-md
pkgbase	bs-platform	atomic-arch	arch-md
pkgbase	btdex	atomic-arch	arch-md
pkgbase	btdex-git	atomic-arch	arch-md
pkgbase	burn-cd	atomic-arch	arch-md
pkgbase	caelum	atomic-arch	arch-md
pkgbase	caja-deja-dup-bzr	atomic-arch	arch-md
pkgbase	camotics	atomic-arch	arch-md
